t,nis,ewma,cusum,alarm,safe_mode,vo_trust,lambda_eff,Seed
169.0,1.5722110321600336,1.701774711206561,231.60757124040467,1.0,1.0,0.05,0.55,4
170.0,1.0804712910997862,1.6893486428044255,232.1880425315045,1.0,1.0,0.05,0.55,4
171.0,11.107492129269607,1.8777115125337287,242.79553466077408,1.0,1.0,0.05,0.55,4
172.0,5.339104863216521,1.9469393795473848,247.63463952399064,1.0,1.0,0.05,0.55,4
173.0,5.237798009542339,2.0127565521472843,252.37243753353297,1.0,1.0,0.05,0.55,4
174.0,1.7876063654904055,2.008253548414147,253.66004389902335,1.0,1.0,0.05,0.55,4
175.0,1.8933625018743103,2.00595572748335,255.05340640089767,1.0,1.0,0.05,0.55,4
176.0,4.711969497168156,2.060076002877046,259.2653758980659,1.0,1.0,0.05,0.55,4
177.0,4.4162349422405,2.107199181664315,263.1816108403064,1.0,1.0,0.05,0.55,4
178.0,1.42200568148919,2.0934953116608126,264.1036165217956,1.0,1.0,0.05,0.55,4
179.0,1.2904731782677124,2.0774348689929507,264.89408970006326,1.0,1.0,0.05,0.55,4
180.0,0.8977191358538582,2.053840554330169,265.2918088359171,1.0,1.0,0.05,0.55,4
181.0,1.466295905440326,2.042089661352372,266.25810474135744,1.0,1.0,0.05,0.55,4
182.0,3.5706202703554806,2.0726602735324335,269.32872501171295,1.0,1.0,0.05,0.55,4
183.0,1.794198739304263,2.0670910428478706,270.6229237510172,1.0,1.0,0.05,0.55,4
184.0,1.9580419897791344,2.064910061786496,272.0809657407964,1.0,1.0,0.05,0.55,4
185.0,0.5130610014856051,2.0338730805804777,272.0940267422819,1.0,1.0,0.05,0.55,4
186.0,0.9148631973678579,2.0114928829162246,272.5088899396498,1.0,1.0,0.05,0.55,4
187.0,0.5389681938838301,1.9820423891355767,272.5478581335336,1.0,1.0,0.05,0.55,4
188.0,4.010619142149173,2.022613924195849,276.0584772756828,1.0,1.0,0.05,0.55,4
189.0,4.10465755163726,2.0642547967446774,279.66313482732005,1.0,1.0,0.05,0.55,4
190.0,0.10650785814548391,2.0250998579726933,279.26964268546556,1.0,1.0,0.05,0.55,4
191.0,3.7475699950352497,2.0595492607139447,282.5172126805008,1.0,1.0,0.05,0.55,4
192.0,4.279845770524151,2.1039551909101486,286.2970584510249,1.0,1.0,0.05,0.55,4
193.0,0.45812652769580126,2.071038617645862,286.2551849787208,1.0,1.0,0.05,0.55,4
194.0,0.5306148576555377,2.040230142446056,286.2857998363763,1.0,1.0,0.05,0.55,4
195.0,4.377843985895371,2.086982419315042,290.1636438222717,1.0,1.0,0.05,0.55,4
196.0,0.5847120480210184,2.0569370118891617,290.2483558702927,1.0,1.0,0.05,0.55,4
197.0,1.0777028572642466,2.0373523287966635,290.82605872755687,1.0,1.0,0.05,0.55,4
