thr,FPR,TPR,TP,FP,TN,FN
1.613295229641399819e+00,3.904166666666666896e-01,4.752941176470588114e-01,2.424000000000000000e+03,9.370000000000000000e+02,1.463000000000000000e+03,2.676000000000000000e+03
1.634772834666969210e+00,3.887499999999999845e-01,4.711764705882353077e-01,2.403000000000000000e+03,9.330000000000000000e+02,1.467000000000000000e+03,2.697000000000000000e+03
1.649314576343267724e+00,3.850000000000000089e-01,4.680392156862744901e-01,2.387000000000000000e+03,9.240000000000000000e+02,1.476000000000000000e+03,2.713000000000000000e+03
1.661074539001065276e+00,3.804166666666666807e-01,4.652941176470588025e-01,2.373000000000000000e+03,9.130000000000000000e+02,1.487000000000000000e+03,2.727000000000000000e+03
1.672824444279745082e+00,3.766666666666666496e-01,4.621568627450980404e-01,2.357000000000000000e+03,9.040000000000000000e+02,1.496000000000000000e+03,2.743000000000000000e+03
1.686269210400533902e+00,3.733333333333333504e-01,4.588235294117646856e-01,2.340000000000000000e+03,8.960000000000000000e+02,1.504000000000000000e+03,2.760000000000000000e+03
1.707211637689474371e+00,3.699999999999999956e-01,4.554901960784313864e-01,2.323000000000000000e+03,8.880000000000000000e+02,1.512000000000000000e+03,2.777000000000000000e+03
1.721775153444773165e+00,3.658333333333333437e-01,4.525490196078431615e-01,2.308000000000000000e+03,8.780000000000000000e+02,1.522000000000000000e+03,2.792000000000000000e+03
1.736490671974779243e+00,3.629166666666666652e-01,4.490196078431372695e-01,2.290000000000000000e+03,8.710000000000000000e+02,1.529000000000000000e+03,2.810000000000000000e+03
1.756868023481331198e+00,3.591666666666666896e-01,4.458823529411764519e-01,2.274000000000000000e+03,8.620000000000000000e+02,1.538000000000000000e+03,2.826000000000000000e+03
1.769401127851479849e+00,3.541666666666666852e-01,4.431372549019607643e-01,2.260000000000000000e+03,8.500000000000000000e+02,1.550000000000000000e+03,2.840000000000000000e+03
1.784386826826416250e+00,3.487500000000000044e-01,4.407843137254902066e-01,2.248000000000000000e+03,8.370000000000000000e+02,1.563000000000000000e+03,2.852000000000000000e+03
1.799387940534274755e+00,3.449999999999999734e-01,4.376470588235293890e-01,2.232000000000000000e+03,8.280000000000000000e+02,1.572000000000000000e+03,2.868000000000000000e+03
1.813102789962779626e+00,3.429166666666666474e-01,4.337254901960784226e-01,2.212000000000000000e+03,8.230000000000000000e+02,1.577000000000000000e+03,2.888000000000000000e+03
1.829122983561005444e+00,3.387499999999999956e-01,4.307843137254901977e-01,2.197000000000000000e+03,8.130000000000000000e+02,1.587000000000000000e+03,2.903000000000000000e+03
1.847375219612849895e+00,3.350000000000000200e-01,4.276470588235294357e-01,2.181000000000000000e+03,8.040000000000000000e+02,1.596000000000000000e+03,2.919000000000000000e+03
1.866041343274773112e+00,3.316666666666666652e-01,4.243137254901960809e-01,2.164000000000000000e+03,7.960000000000000000e+02,1.604000000000000000e+03,2.936000000000000000e+03
1.878725517340640305e+00,3.300000000000000155e-01,4.201960784313725217e-01,2.143000000000000000e+03,7.920000000000000000e+02,1.608000000000000000e+03,2.957000000000000000e+03
1.895413318913354406e+00,3.295833333333333393e-01,4.154901960784313508e-01,2.119000000000000000e+03,7.910000000000000000e+02,1.609000000000000000e+03,2.981000000000000000e+03
1.918702606706952141e+00,3.245833333333333348e-01,4.129411764705882559e-01,2.106000000000000000e+03,7.790000000000000000e+02,1.621000000000000000e+03,2.994000000000000000e+03
1.939691549511246338e+00,3.208333333333333592e-01,4.098039215686274384e-01,2.090000000000000000e+03,7.700000000000000000e+02,1.630000000000000000e+03,3.010000000000000000e+03
1.957581772796784136e+00,3.200000000000000067e-01,4.052941176470588047e-01,2.067000000000000000e+03,7.680000000000000000e+02,1.632000000000000000e+03,3.033000000000000000e+03
1.972889010417085087e+00,3.170833333333333282e-01,4.015686274509803755e-01,2.048000000000000000e+03,7.610000000000000000e+02,1.639000000000000000e+03,3.052000000000000000e+03
1.991213589251384919e+00,3.125000000000000000e-01,3.988235294117646879e-01,2.034000000000000000e+03,7.500000000000000000e+02,1.650000000000000000e+03,3.066000000000000000e+03
2.021050815418335311e+00,3.091666666666666452e-01,3.954901960784313886e-01,2.017000000000000000e+03,7.420000000000000000e+02,1.658000000000000000e+03,3.083000000000000000e+03
