t,est_px,est_py,vo_nis,vo_trust,vo_infl,w_nis,w_trust,w_infl
9.500000000000000000e+01,9.647313140376260421e+00,4.723028517200702936e+00,2.678662709329135527e+00,1.000000000000000000e+00,1.000000000000000000e+00,7.891479454575314634e+00,9.783920209556243863e-01,1.022783805184909633e+00
9.600000000000000000e+01,9.749062456197334470e+00,4.745357996378547050e+00,2.121892017220738946e+00,1.000000000000000000e+00,1.000000000000000000e+00,2.481737580380168673e+00,9.790402603269556803e-01,1.022085195485619824e+00
9.700000000000000000e+01,9.884873498470417630e+00,4.809052058426607879e+00,5.267079287184953884e+00,1.000000000000000000e+00,1.000000000000000000e+00,5.797490968908540765e-01,9.796690525171469766e-01,1.021408455323425279e+00
9.800000000000000000e+01,9.977952122322561124e+00,4.840448785493276063e+00,9.916198358646659550e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.326206901594150001e+00,9.802789809416325717e-01,1.020752873055053689e+00
9.900000000000000000e+01,1.010236631007080632e+01,4.926901653152407690e+00,3.715161112373424501e+00,1.000000000000000000e+00,1.000000000000000000e+00,2.849118088573695751e+00,9.808706115133836168e-01,1.020117761822684210e+00
1.000000000000000000e+02,1.019534532429107720e+01,4.968794919758762418e+00,1.370679292447784414e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.476126715803055989e+00,9.814444931679821016e-01,1.019502458593495531e+00
1.010000000000000000e+02,1.027371346169426936e+01,5.031039498380537545e+00,2.188927503166333111e+00,1.000000000000000000e+00,1.000000000000000000e+00,5.974859291169091202e-01,9.820011583729426619e-01,1.018906323242105172e+00
1.020000000000000000e+02,1.036439604623975441e+01,5.078457617517038614e+00,8.483115216735388486e-01,1.000000000000000000e+00,1.000000000000000000e+00,7.039175438995389555e+00,9.825411236217543864e-01,1.018328737673669604e+00
1.030000000000000000e+02,1.047843544481692213e+01,5.133288550840687137e+00,3.311177070148231261e-01,1.000000000000000000e+00,1.000000000000000000e+00,2.879885831893767456e+00,9.830648899131017027e-01,1.017769104985540185e+00
1.040000000000000000e+02,1.059786679189488368e+01,5.198959880869752581e+00,6.391649110381355525e-01,1.000000000000000000e+00,1.000000000000000000e+00,5.565773237076287572e+00,9.835729432157086505e-01,1.017226848665498951e+00
1.050000000000000000e+02,1.069556100470984283e+01,5.255212766638759803e+00,8.417911844026240153e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.018455213186376085e+01,9.713095796512498659e-01,1.016701411824713741e+00
1.060000000000000000e+02,1.080017989320004013e+01,5.282284896560118348e+00,4.306910005847358058e-01,1.000000000000000000e+00,1.000000000000000000e+00,4.442365655873449448e+00,9.721702922617123654e-01,1.029537874380948015e+00
1.070000000000000000e+02,1.088790012269496010e+01,5.325870344837428938e+00,9.306335942154660146e-02,1.000000000000000000e+00,1.000000000000000000e+00,2.368563661975359391e+00,9.730051834938610034e-01,1.028626371284749874e+00
1.080000000000000000e+02,1.099591557575402767e+01,5.382739154222193179e+00,1.394401729398591527e+00,1.000000000000000000e+00,1.000000000000000000e+00,4.914478572800720535e+00,9.738150279890451788e-01,1.027743754056074099e+00
1.090000000000000000e+02,1.111401661944540642e+01,5.432073103635105760e+00,1.166649368504242057e+00,1.000000000000000000e+00,1.000000000000000000e+00,7.211342798827594658e-01,9.746005771493738701e-01,1.026889061329262498e+00
1.100000000000000000e+02,1.120447368333984706e+01,5.465355352446265691e+00,1.872127706538621927e+00,1.000000000000000000e+00,1.000000000000000000e+00,2.473175115431128113e+00,9.753625598348926173e-01,1.026061366518904894e+00
1.110000000000000000e+02,1.131929622754449660e+01,5.509229511396451784e+00,9.967331632771707639e-01,1.000000000000000000e+00,1.000000000000000000e+00,5.704690355707595639e-01,9.761016830398457911e-01,1.025259776394613631e+00
1.120000000000000000e+02,1.139661849553775497e+01,5.566956096226054029e+00,4.208960812630148651e-01,1.000000000000000000e+00,1.000000000000000000e+00,7.141975885649704203e+00,9.768186325486504229e-01,1.024483429723969330e+00
1.130000000000000000e+02,1.150717348888322178e+01,5.636549606019624292e+00,7.724941991862384061e-01,1.000000000000000000e+00,1.000000000000000000e+00,7.966948886893860049e+00,9.775140735721908891e-01,1.023731495979828265e+00
1.140000000000000000e+02,1.160141559089594487e+01,5.651245247823690754e+00,5.804318515336579054e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.619872675908182735e+00,9.781886513650251969e-01,1.023003174108417124e+00
1.150000000000000000e+02,1.169236220426130224e+01,5.693195076647603159e+00,5.301461765730193232e-01,1.000000000000000000e+00,1.000000000000000000e+00,3.593825226178403831e+00,9.788429918240744154e-01,1.022297691354870919e+00
1.160000000000000000e+02,1.178267535883267847e+01,5.778634717215087591e+00,4.986832322696233000e+00,1.000000000000000000e+00,1.000000000000000000e+00,3.367420725786858249e+00,9.794777020693521408e-01,1.021614302143083686e+00
1.170000000000000000e+02,1.184332267002046635e+01,5.826256575469240140e+00,1.114480542722387169e+00,1.000000000000000000e+00,1.000000000000000000e+00,6.359080978425667219e+00,9.800933710072715632e-01,1.020952287006932524e+00
1.180000000000000000e+02,1.196947996986624574e+01,5.870888501355269185e+00,3.280170175919366216e+00,1.000000000000000000e+00,1.000000000000000000e+00,4.507223927789640427e+00,9.806905698770533863e-01,1.020310951570124081e+00
1.190000000000000000e+02,1.210894045775264161e+01,5.910403678205974565e+00,6.539656336842134543e+00,1.000000000000000000e+00,1.000000000000000000e+00,2.044262104103674815e+00,9.812698527807417470e-01,1.019689625572077540e+00
1.200000000000000000e+02,1.221734775935702189e+01,5.972897901413277033e+00,1.593002248495897888e+00,1.000000000000000000e+00,1.000000000000000000e+00,4.700537742441365907e+00,9.818317571973195212e-01,1.019087661937417622e+00
1.210000000000000000e+02,1.234200858530482847e+01,5.986409574328551919e+00,8.465870702207762832e+00,1.000000000000000000e+00,1.000000000000000000e+00,3.020460311737872328e+00,9.823768044813999678e-01,1.018504435886798509e+00
1.220000000000000000e+02,1.242988215710667355e+01,6.043192716119725638e+00,1.520390343767980268e-01,1.000000000000000000e+00,1.000000000000000000e+00,6.272347003456239634e+00,9.829055003469580054e-01,1.017939344086919329e+00
